,word,positive count,negative count,positive sentiment,negative sentiment
132,honest,1.0,2.0,0.7351,0.0
133,credit,1.0,1.0,0.6486,0.0
134,person,1.0,20.0,0.7351,0.0
135,Including,1.0,2.0,0.296,0.0
136,Gala,1.0,1.0,0.7003,0.0
137,w,1.0,45.0,0.4215,-0.0648222222222
138,it's,1.0,27.0,0.6486,-0.0352888888889
139,settled,2.0,35.0,0.3239,-0.0738485714286
140,think,1.0,37.0,0.8126,-0.00918918918919
141,Speak,1.0,150.0,0.1027,-0.00361533333333
142,comment,1.0,7.0,0.6486,0.0
143,relevant,4.0,4.0,0.4404,0.0
144,love,2.0,38.0,0.7992,0.0
145,campaign,1.0,2.0,0.4754,0.0
146,Harvey,25.0,3331.0,0.319712,-0.017304052837
147,Support,1.0,10.0,0.0258,0.0
148,When,1.0,12.0,0.4939,0.0
149,private,1.0,24.0,0.4754,0.0
150,Fight,1.0,3.0,0.0258,0.0
151,Entertainment,1.0,6.0,0.4215,0.0
152,right,1.0,37.0,0.3612,-0.0209648648649
153,But,3.0,45.0,0.4173,-0.0453866666667
154,THEY,1.0,1.0,0.8756,-0.6289
155,ô,5.0,1700.0,0.4328,-0.00559741176471
156,reached,4.0,22.0,0.1027,-0.0154545454545
157,Hollywood,6.0,1937.0,0.49125,-0.0143958182757
158,Speaks,1.0,24.0,0.3612,-0.406725
159,ù,1.0,88.0,0.4404,0.0
160,post,1.0,21.0,0.3182,0.0
161,speak,2.0,33.0,0.48355,-0.0259363636364
162,use,1.0,23.0,0.3612,0.0
163,silent,1.0,72.0,0.1759,-0.1016875
164,I've,1.0,22.0,0.7351,-0.0827045454545
165,23,1.0,3.0,0.7003,0.0
166,people,2.0,186.0,0.2192,-0.00287419354839
167,due,1.0,21.0,0.6486,0.0
168,least,1.0,18.0,0.1027,0.0
169,anyone,2.0,140.0,0.67615,0.0
170,w.,1.0,1.0,0.3612,-0.5423
171,taken,1.0,140.0,0.4754,0.0
172,Post,1.0,37.0,0.4466,0.0
173,friend,3.0,3.0,0.5658,0.0
174,Women,2.0,1104.0,0.0258,-0.022814673913
175,head,4.0,159.0,0.66645,-0.0424616352201
176,October,1.0,6.0,0.7096,0.0
177,innocent,1.0,1.0,0.4404,0.0
178,settlements,2.0,7.0,0.27155,-0.0485714285714
179,offered,1.0,4198.0,0.4215,0.0
180,took,1.0,103.0,0.8756,-0.0579155339806
181,forward,1.0,158.0,0.6486,0.0
182,Revolution,4.0,11.0,0.4404,0.0
183,...,1.0,436.0,0.5106,-0.0132472477064
184,daughter,1.0,9.0,0.4767,0.0
185,worked,1.0,28.0,0.7351,0.0
186,Starting,4.0,9.0,0.4404,0.0
187,Heroes,1.0,2.0,0.7003,-0.362
188,must,1.0,3.0,0.4404,0.0
189,And,2.0,103.0,0.3612,-0.24207184466
190,10,1.0,195.0,0.5456,0.0
191,13,1.0,28.0,0.0516,0.0
192,Advice,2.0,4.0,0.39475,0.0
193,join,1.0,1.0,0.5106,0.0
194,last,1.0,31.0,0.7506,-0.0609129032258
195,1997,2.0,12.0,0.1027,0.0
196,To,1.0,2862.0,0.5106,-0.000440880503145
197,Twitter,1.0,450.0,0.0258,0.0
198,getting,2.0,90.0,0.82225,0.0
199,see,1.0,162.0,0.4939,0.0
200,record,1.0,1.0,0.0772,0.0
201,vs,1.0,2.0,0.3182,0.0
202,#HarveyWeinstein,1.0,16.0,0.7351,-0.04255
203,believed,1.0,3.0,0.7351,0.0
204,Settlement,2.0,18.0,0.23195,-0.5423
205,powers,1.0,1.0,0.7506,0.0
206,Your,1.0,3.0,0.4466,0.0
207,Out,4.0,426.0,0.294125,-0.0318251173709
208,beautiful,1.0,7.0,0.5106,0.0
209,actresses,1.0,46.0,0.4215,-0.114886956522
210,months,1.0,1.0,0.7351,0.0
211,leaked,1.0,1.0,0.0772,0.0
212,give,1.0,99.0,0.6486,0.0
213,best,1.0,3.0,0.8481,0.0
214,favorite,1.0,13.0,0.802,0.0
215,year,1.0,25.0,0.1759,-0.11288
216,share,1.0,3.0,0.8481,0.0
217,surface,1.0,44.0,0.296,-0.268995454545
218,Late,1.0,2.0,0.5106,0.0
219,heard,1.0,4.0,0.3612,-0.369875
220,single,1.0,2.0,0.6054,0.0
221,writes,1.0,8.0,0.3612,-0.0677875
222,she'd,1.0,1.0,0.3182,0.0
223,want,1.0,12.0,0.0772,-0.0567333333333
224,New,1.0,42.0,0.7003,-0.0311166666667
225,seen,1.0,5.0,0.4767,-0.068
226,You,1.0,138.0,0.3612,-0.023002173913
227,Years,1.0,1.0,0.5456,0.0
228,clearly,1.0,4.0,0.6486,0.0
229,rape,1.0,210.0,0.8496,-0.0159566666667
230,hit,3.0,3.0,0.7297,0.0
231,Do,1.0,25.0,0.3612,0.0
232,Would,2.0,7.0,0.39475,0.0
233,¶,21.0,6219.0,0.33809047619,-0.00511249397009
234,perhaps,2.0,1.0,0.0772,0.0
235,Who,1.0,37.0,0.0258,-0.388935135135
236,Predator,2.0,4.0,0.39475,0.0
237,couch,1.0,4.0,0.2263,-0.16285
238,also,1.0,21.0,0.5456,-0.025080952381
239,hot,1.0,1.0,0.802,0.0
240,role,2.0,66.0,0.42665,0.0
241,s.,1.0,2.0,0.8496,0.0
242,big,1.0,10.0,0.7506,0.0
243,interview,1.0,3.0,0.0772,-0.1499
244,donor,1.0,2.0,0.4754,0.0
245,#Weinstein,1.0,17.0,0.1027,0.0
246,Why,2.0,267.0,0.4723,0.0
247,nice,1.0,1.0,0.8481,0.0
248,A,6.0,2939.0,0.393033333333,-0.00026393331065
249,Younger,2.0,4.0,0.39475,0.0
250,¬,1.0,69.0,0.3612,-0.0241463768116
251,Weinstein,32.0,10118.0,0.338084375,-0.00925565329116
252,reportedly,2.0,4.0,0.1027,-0.085
253,I,6.0,553.0,0.795216666667,-0.0165547920434
254,Michael,1.0,6.0,0.1027,0.0
255,000,1.0,1.0,0.1027,0.0
256,eight,1.0,1.0,0.1027,-0.34
257,allowing,3.0,10.0,0.4173,-0.20367
258,#Cult,1.0,1.0,0.0516,0.0
259,The,2.0,1091.0,0.47605,-0.00119028414299
260,friends,1.0,2.0,0.4767,0.0
261,man,1.0,43.0,0.4754,-0.0994069767442
262,ago,1.0,39.0,0.1759,-0.0413974358974
263,‚,29.0,8581.0,0.373965517241,-0.00492427456007
264,read,2.0,11.0,0.5796,0.0
265,amid,13.0,68.0,0.307107692308,-0.0870838235294
266,clear,1.0,1.0,0.0772,0.0
267,It,1.0,157.0,0.5106,-0.0128133757962
268,know,1.0,147.0,0.0772,-0.0426149659864
269,asked,1.0,5.0,0.4939,0.0
270,Weinstein's,1.0,78.0,0.7506,-0.0354358974359
271,Like,1.0,4.0,0.3612,-0.085
272,mcgowan,4.0,235.0,0.6015,-0.0170736170213
273,Lloyd,1.0,1.0,0.1027,0.0
274,movie,1.0,24.0,0.802,-0.0848625
275,claims,2.0,107.0,0.296,-0.0356897196262
276,Film,1.0,39.0,0.7506,0.0
277,If,1.0,42.0,0.6486,-0.0162095238095
