,word,positive count,negative count,positive sentiment,negative sentiment
151,Kimmel,2,8,0.7717,-0.263075
152,del,1,8,0.34,0.0
153,Money,3,2,0.2757,-0.2916
154,making,2,6,0.273,-0.330783333333
155,grope,1,3,0.9406,0.0
156,male,2,116,0.3112,-0.0132293103448
157,didnt,1,2,0.1511,-0.357
158,Your,5,6,0.51324,-0.3836
159,Out,15,587,0.298133333333,-0.01136439523
160,Standing,1,1,0.4215,-0.5719
161,crazy,2,1,0.4404,-0.4003
162,Thinks,22,1,0.4404,0.0
163,want,5,22,0.38166,-0.678154545455
164,downfall,3,2,0.198266666667,0.0
165,Hurricane,2,4,0.7717,-0.373225
166,heard,8,1,0.38165,-0.0258
167,Mr.,5,3,0.81572,-0.6034
168,something,1,174,0.1511,-0.413264367816
169,Accusations,2,6,0.1468,-0.69505
170,allowed,401,3,0.576982543641,-0.613633333333
171,story,113,94,0.392172566372,-0.170213829787
172,Shows,1,2,0.4019,-0.8192
173,needs,3,6,0.281733333333,-0.4407
174,HIS,1,1,0.5319,-0.296
175,¶,876,2531,0.494582762557,-0.292200987752
176,rather,3,2,0.5562,-0.30015
177,Who,2,18,0.22365,-0.339855555556
178,Everhart,1,1,0.4215,-0.6808
179,1,5,7,0.39824,-0.0774714285714
180,Tonight,1,216,0.4215,0.0
181,Gretchen,1,3,0.2732,0.0
182,instead,1,1,0.6249,0.0
183,speaks,1,4,0.3034,-0.0903
184,Why,4,52,0.3389,-0.327403846154
185,Looks,1,1,0.3612,-0.0258
186,A,3,18,0.424966666667,-0.192538888889
187,badly,1,2,0.3724,-0.5719
188,plant,2,6,0.5202,-0.09765
189,Don,1,11,0.296,-0.242390909091
190,tried,3,91,0.5402,-0.0257582417582
191,may,3,4,0.324,-0.218
192,watch,1,184,0.3802,-0.354988586957
193,Chapman,1,62,0.4019,-0.0718451612903
194,Will,1,12,0.5267,-0.210758333333
195,Roman,3,30,0.469166666667,-0.591826666667
196,abuse,1,22,0.5684,-0.704022727273
197,Kelly,1,1,0.4215,-0.4939
198,Lisa,1,76,0.6369,-0.0680210526316
199,Model,1,1,0.4019,-0.4767
200,man,1,14,0.6908,-0.211921428571
201,thought,3,22,0.392266666667,-0.554140909091
202,All,3,25,0.280666666667,-0.260644
203,effective,3,1,0.335,-0.2748
204,One,1,4,0.6597,-0.245675
205,Democrats,3,182,0.419466666667,-0.156808791209
206,Another,1,5,0.0258,-0.55766
207,media,1,3,0.4404,-0.0884
208,Emails,3,3,0.4939,-0.2065
209,first,1,6,0.0772,-0.28635
210,Sexual,18,152,0.39385,-0.609774342105
211,talk,2,6,0.49665,-0.134566666667
212,#SmartNews,1,1,0.0258,-0.5574
213,What,13,134,0.379507692308,-0.0443604477612
214,Affleck,3,11,0.1826,-0.343509090909
215,office,23,3,0.7642,-0.236833333333
216,don't,82,241,0.427292682927,-0.338739004149
217,2005,18,1,0.610161111111,0.0
218,Breaking,1,3,0.25,-0.500533333333
219,soon,1,1,0.25,0.0
220,years,4,44,0.381175,-0.231775
221,course,1,6,0.5994,-0.3629
222,won't,1,2,0.2057,-0.17
223,misconduct,2,6,0.2941,-0.235133333333
224,White,1,3,0.597,-0.2162
225,still,5,13,0.5185,-0.177923076923
226,Decades,7,13,0.1511,-0.608630769231
227,Actresses,1,2,0.6908,-0.2294
228,His,5,599,0.26352,-0.0351968280467
229,March,1,112,0.5574,0.0
230,hypocrisy,1,3,0.4053,-0.0257333333333
231,harassed,1,194,0.431,-0.547029896907
232,Breitbart,2,11,0.7717,-0.0601818181818
233,Here,12,9,0.7184,-0.488288888889
234,actually,2,183,0.47755,-0.445862295082
235,better,3,25,0.454266666667,-0.179228
236,co-founded,1,6,0.0516,-0.528383333333
237,production,1,4,0.3612,-0.13935
238,2017,2,34,0.5094,-0.354641176471
239,team,1,1,0.6249,-0.3595
240,ally,1,1,0.1027,-0.2572
241,happened,1,2,0.3612,-0.4404
242,it.,13,6,0.676823076923,-0.290983333333
243,someone,1,1,0.1511,-0.2023
244,return,1,1,0.6305,0.0
245,safe,1,1,0.5267,-0.1027
246,Seth,1,2,0.5574,0.0
247,predator,39,46,0.359828205128,-0.541417391304
248,touching,1,1,0.6908,-0.3595
249,She,3,14,0.680266666667,-0.350264285714
250,kiss,3,3,0.511266666667,-0.128
251,hearing,1,1,0.3939,0.0
252,It's,1,2,0.3612,-0.5908
253,day,5,20,0.3314,-0.641015
254,#Weinstein,31,69,0.353222580645,-0.0427898550725
255,TRUMP,2,2,0.296,0.0
256,warned,6,1,0.40155,-0.2732
257,Israel,1,1,0.5267,0.0
258,Say,1,69,0.7275,-0.0302927536232
259,expels,2,5,0.3206,-0.76774
260,predators,4,5,0.4665,-0.19746
261,Gary,3,1,0.7065,-0.4404
262,Milo,1,2,0.1027,-0.62015
263,went,1,4,0.4404,-0.315
264,Kate,58,12,0.717182758621,-0.29185
265,isn't,1,7,0.2023,-0.289142857143
266,mean,3,5,0.5188,-0.2008
267,ratings,1,1,0.4003,-0.9049
268,From,3,41,0.4414,-0.257431707317
269,Wow,408,20,0.575858088235,-0.07099
270,secret,1,3,0.296,-0.788466666667
271,Legal,13,3,0.0415230769231,-0.4215
272,Barack,1,45,0.1511,-0.456473333333
273,society,1,1,0.0772,-0.5859
274,Hillary's,2,3,0.4215,-0.0674333333333
275,we'd,1,3,0.2542,-0.6597
276,Which,1,1,0.3527,0.0
277,sexually,2,201,0.4858,-0.543386567164
278,calling,1,171,0.4003,-0.422645614035
279,sexual,412,261,0.57039684466,-0.515037547893
280,Hollywood,18,1129,0.507044444444,-0.497840389725
281,es,1,14,0.34,-0.0486285714286
282,More,1,9,0.5081,-0.325177777778
283,Lawyers,1,1,0.3818,0.0
284,entertainment,12,11,0.488408333333,-0.644981818182
285,SEXUAL,3,1,0.7065,-0.6408
286,since,3,2,0.335666666667,-0.2202
287,looking,6,4,0.348416666667,-0.364925
288,investigation,1,1,0.25,-0.6322
289,Joe,1,5,0.4939,-0.2668
290,smh,1,4,0.1027,-0.357825
291,Report,2,3,0.4643,-0.3337
292,surprise,1,2,0.4767,-0.1609
293,Top,1,19,0.2023,-0.507331578947
294,announced,4,3,0.4019,0.0
295,ass,1,33,0.6369,-0.311275757576
296,Judi,1,1,0.4588,-0.2716
297,found,1,9,0.3612,-0.661044444444
298,This,10,24,0.22536,-0.4154
299,scumbag,1,17,0.5859,-0.948523529412
300,Sometimes,1,1,0.4404,-0.5574
301,given,5,15,0.73924,0.0
302,Judd,2,7,0.5574,-0.529528571429
303,reason,5,4,0.21834,0.0
304,.https,2,3,0.4634,-0.265466666667
305,put,12,52,0.519083333333,-0.0221480769231
306,wanted,1,5,0.4215,0.0
307,Anita,4,2,0.4019,-0.08845
308,care,3,1,0.2263,-0.3382
309,director,1,1,0.5267,0.0
310,#News,2,10,0.0772,-0.05423
311,Clinton,132,153,0.280522727273,-0.259783006536
312,exposing,1,1,0.2263,-0.2732
313,miss,1,3,0.1139,-0.511166666667
314,created,1,11,0.6305,-0.7845
315,Being,2,10,0.69365,-0.14158
316,starts,1,1,0.4019,-0.4404
317,could,3,4,0.304933333333,-0.076325
318,terrible,1,2,0.4588,-0.65635
319,keep,3,6,0.5235,-0.391
320,Helped,11,3,0.0258,-0.4215
321,thing,4,78,0.4609,-0.652773076923
322,pigs,1,2,0.7964,-0.34
323,Human,4,1,0.557575,-0.4767
324,app,1,2,0.5423,-0.3982
325,Carpet,3,1,0.8979,-0.4588
326,think,4,13,0.418025,-0.297061538462
327,1000,1,1,0.6369,0.0
328,already,1,3,0.3939,-0.492733333333
329,feel,1,4,0.0516,-0.246825
330,There,1,1,0.4404,-0.7841
331,mucho,1,1,0.34,0.0
332,Asking,1,1,0.3612,0.0
333,Black,5,10,0.39742,-0.16405
334,long,400,14,0.5778,-0.158771428571
335,another,15,1,0.375593333333,-0.25
336,potted,2,7,0.5202,-0.133271428571
337,Speaks,4,551,0.2952,-0.00163974591652
338,ù,5,80,0.46166,-0.3286025
339,Weiner,5,13,0.52854,-0.363492307692
340,Admits,1,1,0.296,-0.4404
341,guess,2,198,0.3941,-0.170411616162
342,silent,2,3,0.1655,-0.300833333333
343,Academy,6,28,0.651333333333,-0.223175
344,top,6,168,0.439033333333,-0.155379166667
345,≠,1,37,0.34,-0.0183081081081
346,least,4,1,0.599025,-0.9246
347,anyone,2,19,0.21555,-0.673615789474
348,2,7,62,0.240742857143,-0.0733967741935
349,white,1,5,0.8176,-0.45786
350,friend,28,2,0.729582142857,-0.52895
351,gives,1,1,0.7003,-0.34
352,B,3,2,0.4939,-0.7068
353,lot,2,23,0.7003,-0.223065217391
354,hotel,2,5,0.4215,0.0
355,took,14,141,0.705042857143,-0.0010609929078
356,forward,1,563,0.1779,-0.539935523979
357,.com,33,11,0.349121212121,-0.0796
358,Says,2,14,0.5894,-0.532564285714
