,word,positive count,negative count,positive sentiment,negative sentiment
124,Sexual,5.0,21.0,0.567,-0.43159047619
125,wing,2.0,1.0,0.806,-0.8934
126,consent,1.0,2.0,0.8041,-0.0386
127,ó,4.0,4.0,0.485775,-0.723675
128,misconduct,3.0,2.0,0.0258,-0.6486
129,Decades,31.0,33.0,0.223780645161,-0.559833333333
130,bombing,1.0,1.0,0.5562,-0.4939
131,His,1.0,5.0,0.3612,-0.49828
132,#BerlinStation,1.0,1.0,0.5095,-0.431
133,somewhere,2.0,2.0,0.3953,-0.7906
134,Offered,4.0,118.0,0.2427,-0.766287288136
135,crew,1.0,1.0,0.4329,-0.5574
136,better,8.0,3.0,0.2959875,-0.364233333333
137,weeks,28.0,2.0,0.289546428571,-0.4755
138,Hil,4.0,6.0,0.2427,-0.389083333333
139,Him,7.0,7.0,0.508328571429,-0.588957142857
140,Bobby,1.0,2.0,0.7017,-0.25
141,safe,1.0,2.0,0.8658,-0.01935
142,break,1.0,5.0,0.8316,-0.54168
143,Delevigne,2.0,1.0,0.45905,0.0
144,Sets,13.0,14.0,0.574023076923,-0.362892857143
145,Womens,2.0,20.0,0.60185,-0.94492
146,Liberal,50.0,41.0,0.27335,-0.566863414634
147,Hats,3.0,1.0,0.8007,-0.4019
148,#nastywoman,2.0,3.0,0.8225,-0.576
149,l,1.0,3.0,0.4404,-0.863533333333
150,rocks,1.0,1.0,0.2732,-0.7762
151,Curious,3.0,1.0,0.3854,-0.6705
152,went,11.0,33.0,0.589781818182,-0.665196969697
153,side,2.0,3.0,0.4958,-0.3483
154,mean,3.0,11.0,0.639466666667,-0.452554545455
155,deo,2.0,1.0,0.7783,-0.571
156,Stars,2.0,1.0,0.2842,-0.2263
157,Feminist,3.0,5.0,0.307166666667,-0.4825
158,Wow,4.0,2.0,0.428025,-0.3308
159,crimes,2.0,8.0,0.408,-0.4019
160,naaaasty,1.0,8.0,0.3612,-0.8172
161,GOOD,2.0,2.0,0.47615,-0.6705
162,Hippocrates,2.0,1.0,0.68775,-0.7412
163,sounds,2.0,1.0,0.3612,-0.4019
164,open,5.0,5.0,0.5354,-0.62846
165,washed,20.0,2.0,0.57772,-0.21075
166,Madonna's,1.0,2.0,0.5859,-0.7622
167,is.,2.0,6.0,0.2732,-0.7794
168,got,10.0,192.0,0.43411,-0.494571875
169,Must,1.0,19.0,0.3612,-0.529078947368
170,turning,2.0,3.0,0.5794,-0.671966666667
171,you're,20.0,11.0,0.260265,-0.490654545455
172,little,11.0,11.0,0.575481818182,-0.514490909091
173,standard,1.0,2.0,0.1901,-0.54705
174,admits,6.0,2.0,0.178183333333,-0.5237
175,N.Y.,1.0,4.0,0.5106,-0.5423
176,W,3.0,12.0,0.3448,-0.3293
177,wanted,6.0,5.0,0.3916,-0.34178
178,BTW,3.0,1.0,0.5555,-0.4767
179,Clinton,54.0,53.0,0.563040740741,-0.586198113208
180,exposing,1.0,47.0,0.3815,-0.5106
181,Hinted,2.0,1.0,0.8708,-0.476
182,Photo,2.0,2.0,0.25985,-0.6361
183,days,7.0,2.0,0.576328571429,-0.4694
184,Human,1.0,2.0,0.4215,0.0
185,diggers,1.0,1.0,0.4374,-0.7633
186,loud,4.0,3.0,0.406425,-0.198
187,already,9.0,2.0,0.385822222222,-0.5489
188,rant,1.0,43.0,0.443,-0.781955813953
189,Handler,3.0,3.0,0.643233333333,-0.389566666667
190,another,16.0,15.0,0.4596375,-0.66412
191,service,1.0,5.0,0.3485,-0.5267
192,top,1.0,2.0,0.2023,-0.371
193,≠,35.0,36.0,0.51708,-0.124736111111
194,needed,1.0,1.0,0.2111,-0.4939
195,hollywood,2.0,4.0,0.45505,-0.4797
196,bitter,1.0,39.0,0.0258,-0.417261538462
197,listen,1.0,3.0,0.3182,-0.684966666667
198,serve,1.0,2.0,0.4767,-0.9274
199,took,8.0,18.0,0.5081,-0.458177777778
200,.com,19.0,73.0,0.362615789474,-0.503628767123
201,roles,3.0,4.0,0.433666666667,-0.4796
202,scenes,16.0,1.0,0.2263,-0.7506
203,Sex,36.0,215.0,0.235552777778,-0.643455813953
204,shower,6.0,3.0,0.36325,-0.477566666667
205,matter,2.0,1.0,0.0258,-0.2225
206,See,1.0,2.0,0.4404,-0.1366
207,friend,13.0,2.0,0.504446153846,-0.3448
208,AFTAL,2.0,1.0,0.25985,-0.7003
209,Ç,6.0,2.0,0.565466666667,-0.58515
210,mind,1.0,9.0,0.4374,-0.4533
211,mine,1.0,1.0,0.9769,-0.9428
212,talking,12.0,16.0,0.402316666667,-0.5899875
213,rap,2.0,1.0,0.27155,-0.4767
214,seen,7.0,4.0,0.495457142857,-0.650625
215,seem,3.0,5.0,0.5267,-0.42338
216,Then,2.0,6.0,0.71445,-0.9011
217,Christian,1.0,1.0,0.8299,0.0
218,Oscars,3.0,3.0,0.604966666667,-0.357466666667
219,NEVER,1.0,15.0,0.2415,-0.0556466666667
220,Let's,6.0,2.0,0.371116666667,-0.63
221,They,27.0,104.0,0.521822222222,-0.823483653846
222,Ask,5.0,48.0,0.57716,-0.429647916667
223,Ash,1.0,2.0,0.3382,-0.4934
224,blue,1.0,8.0,0.6115,-0.4215
225,¬,126.0,18.0,0.506395238095,-0.538144444444
226,though,7.0,3.0,0.332585714286,-0.753833333333
227,enablers,5.0,2.0,0.50822,-0.5788
228,mouth,29.0,22.0,0.430917241379,-0.5138
229,dog,1.0,2.0,0.7003,-0.4111
230,#Twitter,1.0,1.0,0.5574,-0.321
231,reputation,2.0,1.0,0.3094,-0.6705
232,scream,1.0,1.0,0.5393,-0.8324
233,came,12.0,25.0,0.5947,-0.18492
234,saying,22.0,85.0,0.246036363636,-0.870255294118
235,Colbert,4.0,1.0,0.3382,-0.2942
236,sexism,1.0,1.0,0.7003,-0.3818
237,touches,3.0,1.0,0.399333333333,-0.5423
238,busy,2.0,1.0,0.35495,-0.5
239,Big,3.0,3.0,0.4807,-0.1341
240,explain,2.0,4.0,0.3988,-0.396075
241,#MeToo,2.0,4.0,0.8442,-0.351775
242,touched,1.0,2.0,0.4374,-0.5771
243,Others,1.0,4.0,0.4621,-0.5423
244,wearing,9.0,5752.0,0.356844444444,-0.787746123088
245,√,93.0,171.0,0.463703225806,-0.429458479532
246,McGowan,91.0,29.0,0.439936263736,-0.532237931034
247,watch,14.0,27.0,0.468335714286,-0.538
248,da,1.0,5.0,0.8225,-0.39128
249,report,4.0,21.0,0.34,-0.767104761905
250,15,4.0,5.0,0.46945,-0.46188
251,nasty,57.0,495.0,0.214449122807,-0.734154141414
252,WHERE,2.0,1.0,0.4926,-0.8556
253,Honored,12.0,10.0,0.7783,0.0
254,Moore,10.0,5702.0,0.46603,-0.79016613469
255,Over,2.0,2.0,0.44415,-0.6309
256,Washington,2.0,8.0,0.39565,-0.5430125
257,bad,6.0,19.0,0.191083333333,-0.524242105263
258,human,2.0,1.0,0.3612,-0.4767
259,fair,1.0,5.0,0.0258,-0.0997
260,nut,2.0,3.0,0.58345,-0.5394
261,Schumer,2.0,595.0,0.5859,-0.611467394958
262,ò,67.0,41.0,0.252870149254,-0.500790243902
263,John,3.0,1.0,0.596033333333,-0.128
264,said,84.0,513.0,0.318475,-0.226904093567
265,inappropriate,5.0,3.0,0.4019,-0.6369
266,away,7.0,12.0,0.373685714286,-0.511616666667
267,BUT,2.0,7.0,0.5182,-0.4501
268,future,145.0,1.0,0.4486,-0.0516
269,men,8.0,11.0,0.573475,-0.572763636364
270,wear,1.0,7.0,0.2023,-0.670242857143
271,news,6.0,12.0,0.511883333333,-0.66095
272,protect,8.0,1.0,0.4869125,-0.34
273,fault,1.0,3.0,0.5859,-0.585366666667
274,ill,1.0,3.0,0.5204,-0.513233333333
275,Autographed,2.0,1.0,0.25985,-0.7003
276,hypocrites,1.0,8.0,0.4515,-0.3512875
277,com,1.0,1.0,0.4404,0.0
278,asked,3.0,13.0,0.5361,-0.7096
279,tough,3.0,2.0,0.256933333333,-0.128
280,ô,436.0,417.0,0.411033715596,-0.556142446043
281,Sorry,4.0,2.0,0.465725,-0.40995
282,speak,59.0,5713.0,0.48736440678,-0.790090197795
283,utm_campaign,4.0,14.0,0.6512,-0.447371428571
284,I've,1.0,6.0,0.3182,-0.417866666667
285,Waters,1.0,2.0,0.8316,-0.2787
286,Hillary,89.0,40.0,0.42061011236,-0.374705
287,much,10.0,22.0,0.56784,-0.489577272727
288,Donald,2.0,4.0,0.39185,-0.8552
289,life,2.0,5.0,0.4008,-0.46648
290,CC,1.0,1.0,0.7184,-0.4767
291,child,2.0,29.0,0.4648,-0.604365517241
292,Claims,1.0,5.0,0.5696,-0.54732
293,worked,4.0,3.0,0.280525,-0.257566666667
294,Can't,3.0,4.0,0.598333333333,-0.348025
295,Accuses,2.0,2.0,0.5994,-0.5248
296,Accuser,2.0,4.0,0.34,-0.5106
297,publicly,43.0,6.0,0.5574,-0.6166
298,air,2.0,11.0,0.128,-0.622754545455
299,Escaped,4.0,5.0,0.478575,-0.532
300,cui,2.0,1.0,0.4215,-0.128
301,voice,10.0,9.0,0.63826,-0.483977777778
302,cont,2.0,3.0,0.0935,-0.2672
303,...,147.0,1174.0,0.408889795918,-0.441589182283
304,LOL,2.0,2.0,0.69225,-0.7579
305,shame,4.0,6.0,0.274,-0.604033333333
306,madonna,3.0,4.0,0.6919,-0.389525
307,confirmed,1.0,1.0,0.7506,-0.5423
308,things,31.0,2.0,0.329025806452,-0.5986
309,make,5.0,12.0,0.61182,-0.448458333333
310,Stop,1.0,2.0,0.7203,-0.39495
311,Of,6.0,25.0,0.500633333333,-0.593992
312,President,11.0,2997.0,0.3355,-0.7991328662
313,several,2.0,1.0,0.33255,-0.34
314,Maybe,5.0,7.0,0.60934,-0.431642857143
315,published,1.0,2.0,0.296,-0.4404
316,hand,15.0,2.0,0.325706666667,-0.14605
317,marched,2.0,4.0,0.4135,-0.37755
318,mentions,3.0,3.0,0.642433333333,-0.6327
319,Y,5.0,3.0,0.60654,-0.676066666667
320,opportunity,2.0,2.0,0.7845,-0.2023
321,hacer,1.0,2.0,0.3818,-0.5461
322,kept,17.0,28.0,0.230735294118,-0.552614285714
323,McConnell,3.0,2.0,0.569833333333,-0.4333
324,tho,1.0,2.0,0.1901,-0.7269
325,mother,5.0,3.0,0.5267,-0.2336
326,claims,2.0,1164.0,0.21385,-0.505875687285
327,left,5.0,18.0,0.53154,-0.498288888889
328,Sarah,2.0,1.0,0.1779,-0.8452
329,Griffin,13.0,8.0,0.330607692308,-0.345675
330,she'll,2.0,1.0,0.50445,0.0
331,Thank,30.0,3.0,0.37364,-0.3992
332,photo,1.0,6.0,0.5719,-0.5423
333,MOVE,4.0,1.0,0.5358,-0.298
334,victim,7.0,38.0,0.487271428571,-0.388855263158
335,Surprise,26.0,2.0,0.3257,-0.1379
336,yet,10.0,14.0,0.57755,-0.664685714286
337,han,1.0,17.0,0.2023,-0.718370588235
338,Oscar,36.0,68.0,0.395613888889,-0.336910294118
339,character,4.0,7.0,0.4454,-0.885314285714
340,Ø,3.0,3.0,0.307566666667,-0.6314
341,hag,1.0,1.0,0.3182,-0.2023
342,n,7.0,25.0,0.580871428571,-0.483264
343,easy,2.0,1.0,0.5923,0.0
344,News,9.0,36.0,0.481111111111,-0.539608333333
345,save,3.0,5.0,0.510666666667,-0.7184
346,hat,8.0,81.0,0.3967875,-0.533595061728
347,trashed,48.0,3.0,0.4486,-0.587366666667
348,photographed,2.0,1.0,0.5792,-0.128
349,actresses,13.0,13.0,0.519969230769,-0.673153846154
350,casting,4.0,5.0,0.361225,-0.61522
351,James,1.0,1.0,0.3612,-0.7845
352,breaks,1.0,1.0,0.7982,-0.3241
353,possible,1.0,8.0,0.6369,-0.4152
354,shoulder,2.0,7.0,0.35105,-0.8016
355,Trump,56.0,3153.0,0.482560714286,-0.788369711386
356,nude,16.0,2.0,0.2263,-0.4467
357,Are,1.0,5698.0,0.594,-0.790485837136
358,night,1.0,1.0,0.836,-0.5423
359,Taunting,4.0,8.0,0.2427,-0.389875
360,Warren,1.0,1.0,0.8225,-0.34
361,www,7.0,7.0,0.340857142857,-0.534785714286
362,right,209.0,26.0,0.664428229665,-0.482423076923
363,old,7.0,8.0,0.6463,-0.570275
364,crowd,1.0,2.0,0.5106,-0.47755
365,people,68.0,39.0,0.492344117647,-0.552356410256
366,HW,9.0,7.0,0.515611111111,-0.567885714286
367,Berlin,3.0,9.0,0.593533333333,-0.493311111111
368,born,3.0,2.0,0.547133333333,-0.39615
369,escape,4.0,3.0,0.1779,-0.281
370,harassment,20.0,69.0,0.344725,-0.494450724638
371,HD,3.0,1.0,0.754566666667,-0.571
372,Lea,1.0,1.0,0.4574,-0.902
373,ich,1.0,1.0,0.5994,-0.5994
374,outspoken,1.0,1.0,0.2732,-0.2263
375,comments,2.0,7.0,0.55075,-0.691528571429
376,everything,1.0,4.0,0.3224,-0.1737
377,uma,1.0,1.0,0.4019,-0.296
378,denied,2.0,34.0,0.4625,-0.677732352941
379,Chris,1.0,1.0,0.0258,-0.5574
380,Ha,3.0,1.0,0.713233333333,-0.7777
381,He,25.0,75.0,0.45996,-0.621737333333
382,#Hypocrite,1.0,4.0,0.7906,-0.8243
383,Didn,7.0,1.0,0.296,-0.6476
384,ƒ,13.0,22.0,0.721592307692,-0.464159090909
385,Calls,1.0,12.0,0.3182,-0.513033333333
386,Daily,1.0,6.0,0.5267,-0.622966666667
387,post,5.0,4.0,0.48262,-0.45595
388,Think,193.0,6.0,0.687663212435,-0.417616666667
389,First,38.0,30.0,0.533778947368,-0.386353333333
390,attacks,1.0,4.0,0.0516,-0.75755
391,months,3.0,3.0,0.3313,-0.292466666667
392,suspended,7.0,1.0,0.4215,-0.4767
393,match,1.0,1.0,0.7125,-0.2363
394,nerve,1.0,2.0,0.5229,-0.33125
395,Ö,1.0,8.0,0.7783,-0.4111
396,Meryl,13.0,68.0,0.610669230769,-0.533802941176
397,utm_id,4.0,14.0,0.6512,-0.447371428571
398,ppl,3.0,13.0,0.337166666667,-0.537338461538
399,donated,1.0,2.0,0.4588,-0.40765
400,deal,14.0,50.0,0.426778571429,-0.730098
401,support,13.0,6.0,0.574484615385,-0.426983333333
402,constantly,1.0,6.0,0.7269,-0.6562
403,raped,3.0,4147.0,0.4875,-0.719444924041
404,#harveyweinstein,1.0,2.0,0.4574,-0.4939
405,way,62.0,31.0,0.449067741935,-0.592787096774
406,WEISTEIN,1.0,1.0,0.2415,-0.8506
407,happy,2.0,1.0,0.8771,-0.4585
408,head,6.0,4.0,0.5568,-0.680075
409,≈,10.0,12.0,0.71644,-0.468225
410,offering,3.0,15.0,0.5164,0.0
411,offer,1.0,1.0,0.128,-0.2263
412,January,1.0,1.0,0.1719,-0.743
413,GMA,4.0,4.0,0.796975,-0.286525
414,deny,1.0,2.0,0.2003,-0.7717
415,Hilary,4.0,5.0,0.444575,-0.2732
416,taken,1.0,1.0,0.0772,-0.2263
417,heat,1.0,1.0,0.5411,-0.875
418,hear,29.0,9.0,0.345824137931,-0.569144444444
419,Hypocrites,1.0,7.0,0.3182,-0.406442857143
420,true,29.0,8.0,0.48284137931,-0.4224625
421,Left,6.0,1.0,0.3322,-0.4019
422,Golden,2.0,1.0,0.4753,-0.6331
423,Arquette,12.0,1.0,0.498316666667,-0.296
424,faking,1.0,1.0,0.7203,-0.5267
425,proud,4.0,3.0,0.5022,-0.4873
426,proved,3.0,1.0,0.440333333333,-0.6597
427,Variety,1.0,1.0,0.1825,-0.296
428,upset,1.0,3.0,0.0516,-0.426566666667
429,sometime,1.0,1.0,0.7125,-0.4574
430,believable,1.0,3.0,0.0258,-0.473366666667
431,check,1.0,3.0,0.7499,-0.491833333333
432,shit,2.0,35.0,0.3537,-0.683097142857
433,protested,1.0,81.0,0.1531,-0.152485185185
434,na,2.0,3.0,0.4893,-0.792733333333
435,ne,4.0,1.0,0.6369,-0.0516
436,reality,2.0,1.0,0.64945,-0.5423
437,til,2.0,2.0,0.128,-0.2732
438,role,5.0,6.0,0.55634,-0.693016666667
439,complicit,3.0,5.0,0.348433333333,-0.5716
440,roll,1.0,1.0,0.0966,-0.0552
441,molested,1.0,3.0,0.1779,-0.383333333333
442,Double,1.0,52.0,0.1901,-0.395976923077
443,felt,3.0,2.0,0.7003,-0.80265
444,Behar,3.0,1.0,0.581566666667,-0.5106
445,hurt,8.0,16.0,0.6759875,-0.4040625
446,happening,1.0,1.0,0.25,0.0
447,together,6.0,2.0,0.5251,-0.05135
448,time,38.0,28.0,0.643928947368,-0.506817857143
449,stick,1.0,3.0,0.4215,-0.484833333333
450,Safe,1.0,1.0,0.2003,0.0
451,managed,1.0,1.0,0.5374,-0.658
452,õ,2.0,1.0,0.7783,-0.6436
453,Gets,32.0,15.0,0.327275,-0.429073333333
454,praises,8.0,2.0,0.45985,-0.2138
455,Exactly,1.0,17.0,0.2263,-0.709364705882
456,disgusting,1.0,14.0,0.7203,-0.715664285714
457,charge,1.0,1.0,0.4588,-0.8074
458,circumstances,1.0,1.0,0.3224,-0.0772
459,FULL,2.0,3.0,0.50505,-0.562966666667
460,allegations,62.0,110.0,0.394019354839,-0.189642727273
461,keeping,3.0,27.0,0.441066666667,-0.0866666666667
462,os.,4.0,1.0,0.34,-0.695
463,join,2.0,1.0,0.7008,-0.5267
464,blast,1.0,1.0,0.7463,0.0
465,Where,52.0,73.0,0.397865384615,-0.552087671233
466,room,6.0,3016.0,0.389833333333,-0.799244761273
467,Just,15.0,19.0,0.475093333333,-0.382684210526
468,level,2.0,5.0,0.34,-0.42146
469,WILL,1.0,1.0,0.7125,-0.6523
470,guy,75.0,17.0,0.843696,-0.670147058824
471,Kevin,1.0,5.0,0.4595,-0.1116
472,talked,48.0,5.0,0.4486,-0.66274
473,says,16.0,35.0,0.364775,-0.606797142857
474,sign,7.0,5.0,0.583314285714,-0.60324
475,Jane,40.0,28.0,0.455175,-0.379775
476,Rice,3.0,586.0,0.4588,-0.6166
477,goes,2.0,4.0,0.7087,-0.338725
478,del,4.0,29.0,0.171325,-0.688203448276
479,Along,2.0,2.0,0.5859,-0.5017
480,True,2.0,13.0,0.541,-0.128
481,Me,5.0,8.0,0.56552,-0.631
482,...not,6.0,1.0,0.25,-0.453
483,Signed,2.0,1.0,0.25985,-0.7003
484,address,1.0,1.0,0.5766,-0.7405
485,Shocking,14.0,79.0,0.6597,-0.783124050633
486,Times,9.0,11.0,0.496755555556,-0.497090909091
487,My,6.0,58.0,0.54635,-0.517139655172
488,Alyssa,11.0,595.0,0.445727272727,-0.615536302521
489,change,1.0,12.0,0.8256,-0.50475
490,wait,8.0,8.0,0.3834125,-0.5561
491,ME,1.0,17.0,0.6739,-0.453547058824
492,Deal,7.0,10.0,0.320942857143,-0.52615
493,brilliant,3.0,2.0,0.660133333333,-0.3454
494,Dear,3.0,2.0,0.794833333333,-0.56035
495,Baldwin,4.0,2.0,0.4904,-0.77975
496,massage,2.0,1.0,0.56405,-0.7269
497,love,106.0,4.0,0.7943,-0.378725
498,morals,1.0,2.0,0.6369,-0.3348
499,It's,2.0,21.0,0.5029,-0.60220952381
500,When,4.0,5718.0,0.493825,-0.789918957678
501,sincerely,15.0,1.0,0.3182,-0.1027
502,1st,10.0,9.0,0.49842,-0.580055555556
503,everybody,1.0,2.0,0.4621,-0.6493
504,916754287828627461,1.0,1.0,0.5574,-0.6037
505,working,1.0,3.0,0.6983,-0.3087
506,dude,1.0,1.0,0.6369,-0.5859
507,≥,16.0,40.0,0.42010625,-0.4056625
508,#pussyhat,1.0,1.0,0.316,-0.6705
509,±,9.0,20.0,0.586311111111,-0.37449
510,live,3.0,8.0,0.7329,-0.7118625
511,prey,1.0,1.0,0.8585,-0.8225
512,perv,2.0,4.0,0.63255,-0.476325
513,wondering,1.0,2.0,0.4939,-0.5074
514,memory,4.0,1.0,0.682675,-0.296
515,films,6.0,1.0,0.488266666667,-0.75
516,Those,5.0,7.0,0.68136,-0.584571428571
517,Ben,11.0,1.0,0.0735,0.0
518,F,2.0,3.0,0.6996,-0.3089
519,These,21.0,7.0,0.41660952381,-0.737571428571
520,outrage,1.0,18.0,0.7203,-0.669005555556
521,everywhere,1.0,16.0,0.4588,-0.3094125
522,Hayek,1.0,2.0,0.25,-0.55605
523,ThePatriot,1.0,1.0,0.765,-0.4019
524,Bet,1.0,2.0,0.8439,-0.1909
525,deserved,1.0,1.0,0.4621,-0.5106
526,soul,1.0,3.0,0.4767,-0.384866666667
527,judd,39.0,56.0,0.433230769231,-0.509835714286
528,Down,1.0,4.0,0.1531,-0.551225
529,making,3.0,7.0,0.3616,-0.564371428571
530,Out,11.0,11.0,0.574809090909,-0.164072727273
531,claim,2.0,4.0,0.3536,-0.13615
532,Heather,4.0,1.0,0.5248,-0.6369
533,trump,4.0,8.0,0.631525,-0.5640375
534,figure,3.0,1.0,0.367833333333,-0.2263
535,Ü,1.0,6.0,0.0772,-0.47875
536,Media,78.0,20.0,0.759996153846,-0.1993
537,didn't,224.0,36.0,0.663002678571,-0.4614
538,confused,1.0,1.0,0.3328,-0.8422
539,agent,2.0,1.0,0.2878,-0.4019
540,#GMA,1.0,1.0,0.8585,-0.1779
